file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,e375067c,erdenebat7,2026-04-02,16:28:25,-07:00,2026-04-02T16:28:25-07:00,0,4
style.css,2,css,e375067c,erdenebat7,2026-04-02,16:28:25,-07:00,2026-04-02T16:28:25-07:00,1,23
style.css,3,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,15
style.css,4,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,42
style.css,5,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,6,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,7,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,5
style.css,8,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,6
style.css,9,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,20
style.css,10,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,13
style.css,11,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,17
style.css,12,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,13
style.css,13,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,14,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,15,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,5
style.css,16,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,31
style.css,17,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,32
style.css,18,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,19,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,20,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,4
style.css,21,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,12
style.css,22,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,30
style.css,23,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,7
style.css,24,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,25,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,26,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,10
style.css,27,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,12
style.css,28,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,29
style.css,29,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,18
style.css,30,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,31,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,32,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,11
style.css,33,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,1,18
style.css,34,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,35,css,be739553,erdenebat7,2026-04-10,20:56:24,-07:00,2026-04-10T20:56:24-07:00,0,0
style.css,36,css,7c0a2824,erdenebat7,2026-04-12,20:22:04,-07:00,2026-04-12T20:22:04-07:00,0,9
